frame_idx,t_frame_ns
0,258181594153300
1,258181625686300
2,258181657638400
3,258181689582800
4,258181721800000
5,258181753839800
6,258181801837500
7,258181833839800
8,258181865805200
9,258181897663600
10,258181930230200
11,258181961839600
12,258181993849100
13,258182025754100
14,258182057701100
15,258182105667200
16,258182137838200
17,258182169696800
18,258182201872600
19,258182233839900
20,258182265726000
21,258182297707100
22,258182330245100
23,258182377581500
24,258182409622300
25,258182441716600
26,258182473877500
27,258182506336000
28,258182538304600
29,258182570077100
30,258182602390900
31,258182633968600
32,258182682314800
33,258182714251000
34,258182746468300
35,258182778511700
36,258182810315200
37,258182841852400
38,258182874419100
39,258182906272800
40,258182953766000
41,258182986175000
42,258183017714100
43,258183050067000
44,258183081747300
45,258183113658300
46,258183145997900
47,258183177820900
48,258183209616400
49,258183257665500
50,258183289664200
51,258183321923100
52,258183353744100
53,258183385672600
54,258183417734100
55,258183450007400
56,258183481775800
57,258183529895500
58,258183562125800
59,258183593768700
60,258183625879400
61,258183657994100
62,258183689825300
63,258183722161000
64,258183753933200
65,258183785873500
66,258183833914600
67,258183865714300
68,258183897708700
69,258183929861700
70,258183961792900
71,258183994044700
72,258184026163100
73,258184057926000
74,258184105781200
75,258184137999800
76,258184170120700
77,258184201986500
78,258184234064500
79,258184265952500
80,258184297943500
81,258184330002600
82,258184377853300
83,258184410031900
84,258184441674400
85,258184473867400
86,258184505835300
87,258184538039800
88,258184570100200
89,258184602092600
90,258184633809800
91,258184681865000
92,258184713840200
93,258184746137900
94,258184778115400
95,258184810163100
96,258184842107400
97,258184874103400
98,258184905871500
99,258184953976100
100,258184986138000
101,258185018085000
102,258185050018000
103,258185081729300
104,258185114032300
105,258185146246300
106,258185178214400
107,258185210000300
108,258185257957100
109,258185289626700
110,258185321834500
111,258185354089200
112,258185385825700
113,258185417992100
114,258185449820100
115,258185481735300
116,258185529877400
117,258185562455300
118,258185593701100
119,258185626379100
120,258185657821500
121,258185689688400
122,258185721673800
123,258185754089100
124,258185785828400
125,258185834201100
126,258185865689900
127,258185898001300
128,258185929837500
