frame_idx,t_frame_ns
0,609712247067400
1,609712281754900
2,609712319213600
3,609712358743000
4,609712396914100
5,609712438120900
6,609712481865300
7,609712521136300
8,609712556677300
9,609712590759600
10,609712629938200
11,609712670569100
12,609712704704600
13,609712749615400
14,609712786944500
15,609712841025600
16,609712880606800
17,609712920241500
18,609712954228500
19,609712989180200
20,609713030499400
21,609713074766600
22,609713121100300
23,609713169108700
24,609713215374800
25,609713247971000
26,609713294822600
27,609713340714000
28,609713388066100
29,609713429433900
30,609713464220300
31,609713513030700
32,609713557574300
33,609713592191600
34,609713633800100
35,609713681914100
36,609713728787100
37,609713763722400
38,609713806776200
39,609713843468000
40,609713881955200
41,609713918417400
42,609713962564500
43,609713996965400
44,609714035271000
45,609714071781100
46,609714104593100
47,609714138851000
48,609714181741000
49,609714216806200
50,609714253571200
51,609714290500600
52,609714321973800
53,609714357918700
54,609714396863100
55,609714438864700
56,609714478950800
57,609714515081900
58,609714552298900
59,609714587756700
60,609714627182100
61,609714677489500
62,609714724163700
63,609714759839900
64,609714803682600
65,609714852164200
66,609714896851400
67,609714930613600
68,609714966057100
69,609715005963500
70,609715046762900
71,609715086874100
72,609715126877200
73,609715162950600
74,609715196732700
75,609715240931200
76,609715285833700
77,609715333686700
78,609715370993100
79,609715414389400
80,609715451242200
81,609715487672400
82,609715523851900
83,609715570702600
84,609715605024300
85,609715638615600
86,609715680191300
87,609715724272900
88,609715771114700
89,609715805974600
90,609715842347600
91,609715880670400
92,609715916045000
93,609715957120000
94,609716004093400
95,609716041688000
96,609716080799900
97,609716111953400
98,609716157107100
99,609716203418200
100,609716253614400
101,609716311435000
102,609716346733800
103,609716383428400
104,609716427072000
105,609716461876800
106,609716498305100
107,609716537767000
108,609716569093300
109,609716596774000
110,609716632169800
111,609716669326700
112,609716708842000
113,609716756302200
114,609716801084700
115,609716837124500
116,609716872296800
117,609716904866700
118,609716938486000
119,609716972113500
120,609717021008800
121,609717053284600
122,609717088420400
123,609717123112600
124,609717155824100
125,609717192831300
126,609717240630900
127,609717273423900
128,609717319653200
129,609717365687300
130,609717403867900
131,609717440313800
132,609717473375300
133,609717506041900
134,609717553817800
135,609717599600100
136,609717634526800
137,609717672195300
138,609717705026000
139,609717737706300
140,609717772917800
141,609717815490100
142,609717854565100
143,609717887734800
144,609717924330500
145,609717954809700
146,609718004351800
147,609718049552300
148,609718096597100
149,609718145896900
150,609718190825000
151,609718222047000
152,609718255356100
153,609718302864200
154,609718332253000
155,609718365535300
156,609718407585800
157,609718441815700
158,609718476622900
159,609718517025500
160,609718564021100
161,609718595672500
162,609718633851800
163,609718667431600
164,609718705135700
165,609718759351900
166,609718795570100
167,609718845602800
168,609718880951700
169,609718913852700
170,609718951221200
171,609718986973000
172,609719024678600
173,609719062097000
174,609719111719700
175,609719155009100
176,609719189645900
177,609719231601500
178,609719264472400
179,609719296690400
180,609719347065200
181,609719392048300
182,609719438731900
183,609719471224700
184,609719515348300
185,609719562423600
186,609719611587300
187,609719646881000
188,609719687769200
189,609719722827300
190,609719756255800
191,609719790453500
192,609719823511200
193,609719854057700
194,609719894805700
195,609719931777500
196,609719965424500
197,609719998014800
198,609720040934400
199,609720073928800
200,609720112484700
201,609720147789400
202,609720187037200
203,609720220845300
204,609720270823800
205,609720299280900
206,609720346911500
207,609720383594300
208,609720424252500
209,609720461742500
210,609720496941500
211,609720536892400
212,609720572854700
213,609720613717000
214,609720653760800
215,609720693670200
216,609720761500600
217,609720793643300
218,609720830644500
219,609720864555900
220,609720904009400
221,609720939324500
222,609720987928300
223,609721024716600
224,609721063151400
225,609721096787900
226,609721145870400
227,609721189689300
228,609721236956800
229,609721264777100
230,609721296908800
231,609721337518300
232,609721372183300
233,609721408183400
234,609721457926000
235,609721496864400
236,609721530730800
237,609721564184600
238,609721599138700
239,609721635763300
240,609721671198600
241,609721706965200
242,609721756071000
243,609721793970800
244,609721828980100
245,609721865361400
246,609721905953300
247,609721945744900
248,609721983104300
249,609722022520500
250,609722061947500
251,609722103833300
252,609722137698200
253,609722186303000
254,609722225214800
255,609722273303200
256,609722304680600
257,609722348921000
258,609722381831900
259,609722418095100
260,609722456731200
261,609722490116200
262,609722536495500
263,609722580804500
264,609722628888000
265,609722673933800
266,609722706308300
267,609722762935800
268,609722815457600
269,609722856056900
270,609722895881700
271,609722930927600
272,609722968809500
273,609723017889000
274,609723066678200
275,609723111595200
276,609723147892800
277,609723191105200
278,609723225635400
279,609723270857900
280,609723314170600
281,609723362612900
282,609723398393600
283,609723438526400
284,609723471985600
285,609723509466500
286,609723548539500
287,609723596537200
288,609723631567800
289,609723670814700
290,609723706016600
291,609723736966000
292,609723772947100
293,609723811385000
294,609723847388900
295,609723881860100
296,609723920811600
297,609723967129100
298,609724003819700
299,609724039305000
300,609724077784300
301,609724105104700
302,609724140856000
303,609724177984000
304,609724219666300
305,609724264119500
306,609724298509400
307,609724342678700
308,609724387943000
309,609724426541600
310,609724466425700
311,609724515167200
312,609724553761300
313,609724586582800
314,609724622418400
315,609724660139300
316,609724702703300
317,609724737532800
318,609724781323800
319,609724828413100
320,609724864484700
321,609724906058400
322,609724938376100
323,609724972779900
324,609725014209700
325,609725047008300
326,609725094614600
327,609725138660000
328,609725186904500
329,609725223503800
330,609725263938900
331,609725310727300
332,609725344933000
333,609725390214800
334,609725437757300
335,609725470909900
336,609725505079500
337,609725546407600
338,609725578641300
339,609725612484200
340,609725650649600
341,609725687872600
342,609725733087300
343,609725781830000
344,609725831668100
345,609725871591600
346,609725906467200
347,609725941818400
348,609725986419600
349,609726015112900
350,609726061643600
351,609726095175800
352,609726140669500
353,609726173732000
