t_frame_ns,theta_1,theta_2,theta_3,theta_4,quality
876976441377000,-0.0884,-0.0481,1.6847,-1.7899,1
876976489533500,-0.0884,-0.0481,1.6847,-1.7899,1
876976521862400,-0.0884,-0.0481,-1.7835,1.6783,1
876976553642100,-0.0884,-0.0991,0.0000,-0.0542,1
876976585715300,-0.0884,-0.0991,0.0000,-0.0542,1
876976617622000,-0.0884,-0.0991,0.0000,-0.0542,1
876976649696500,-0.0884,-0.0991,0.0000,-0.0542,1
876976681492500,-0.0884,-0.0991,0.0000,-0.0542,1
876976713793900,-0.0884,-0.0991,0.0000,-0.0542,1
876976761704700,-0.0884,-0.0991,0.0000,-0.0542,1
876976793775200,-0.0884,-0.0991,0.0000,-0.0542,1
876976825730000,-0.0884,-0.0991,0.0000,-0.0542,1
876976857769400,-0.0884,-0.0991,0.0000,-0.0542,1
876976889513400,-0.0884,-0.0991,0.0000,-0.0542,1
876976921840800,-0.0884,-0.0991,0.0000,-0.0542,1
876976953749000,-0.0884,-0.0991,0.0000,-0.0542,1
876976985793700,-0.0884,-0.0991,0.0000,-0.0542,1
876977017988600,-0.0884,-0.0991,0.0000,-0.0542,1
876977065690800,-0.0884,-0.0991,0.0000,-0.0542,1
876977097635600,-0.0884,-0.0991,0.0000,-0.0542,1
876977129693900,-0.0884,-0.0991,0.0000,-0.0542,1
876977161700000,-0.0884,-0.0991,0.0000,-0.0542,1
876977193762900,-0.0884,-0.0991,0.0000,-0.0542,1
876977225668000,-0.0884,-0.0991,0.0000,-0.0542,1
876977257724000,-0.0884,-0.0991,0.0000,-0.0542,1
876977289731000,-0.0884,-0.0991,0.0000,-0.0542,1
876977337919700,-0.0884,-0.0991,0.0000,-0.0542,1
876977369766600,-0.0884,-0.0991,0.0000,-0.0542,1
876977401770100,-0.0884,-0.0991,0.0000,-0.0542,1
876977433937800,-0.0884,-0.0991,0.0000,-0.0542,1
876977465888500,-0.0884,-0.0991,0.0000,-0.0542,1
876977497662100,-0.0884,-0.0991,0.0000,-0.0542,1
876977529692400,-0.0884,-0.0991,0.0000,-0.0542,1
876977561841200,-0.0884,-0.0991,0.0000,-0.0542,1
876977593823300,-0.0884,-0.0991,0.0000,-0.0542,1
876977641939400,-0.0884,-0.0991,0.0000,-0.0542,1
876977673919300,-0.0430,-0.0935,-0.0510,-0.0542,1
876977705610300,-0.0884,-0.0481,-0.0510,-0.0542,1
876977737759100,-0.0430,-0.0935,-0.0510,-0.0542,1
876977769722300,-0.0884,-0.0481,-0.1052,-1.7864,1
876977801761600,-0.0884,-0.0481,-0.0510,-0.0542,1
876977833808800,-0.0884,-0.0481,-0.0510,-0.0542,1
876977865770100,-0.0884,-0.0481,-0.0510,-0.0542,1
876977913818300,-0.0884,-0.0481,-0.0510,-0.0542,1
876977945833800,-0.0884,-0.0481,-0.0510,-0.0542,1
876977977835100,-0.0884,-0.0481,-0.0510,-0.0542,1
876978009846000,-0.0884,-0.0481,-0.0510,-0.0542,1
876978041899400,-0.0884,-0.0481,-0.0510,-0.0542,1
876978073857800,-0.0884,-0.0481,-0.0510,-0.0542,1
876978105674700,-0.0884,-0.0991,0.0000,-0.0542,1
876978137981500,-0.0884,-0.0991,0.0000,-0.0542,1
876978169839000,-0.0884,-0.0991,0.0000,-0.0542,1
876978217771800,-0.0884,-0.0481,-0.0510,-0.0542,1
876978249946300,-0.0884,-0.0481,-0.0510,-0.0542,1
876978281695000,-0.0884,-0.0481,-0.0510,-0.0542,1
876978313649200,-0.0884,-0.0481,-0.1052,0.0000,1
876978345790000,-0.0884,-0.0481,-0.1052,-0.0577,1
876978377810500,-0.0884,-0.0991,0.0000,-0.1119,1
876978410065100,-0.0430,-0.0935,-0.0510,-0.1119,1
876978441826600,-0.0884,-0.0481,-0.1052,1.7899,1
876978489740900,1.5482,0.0000,-1.7357,1.7357,1
876978521970900,1.5482,0.0000,-1.7357,1.7357,1
876978553898400,3.1847,-1.6366,0.0000,0.0000,1
876978585922100,3.1847,-1.6366,0.0000,0.0000,1
876978617879000,3.1393,-1.5911,0.0000,0.0000,1
876978649942000,3.1393,-1.5911,0.0000,0.0000,1
876978682233600,3.1847,-1.6366,0.0000,0.0000,1
876978713860100,3.1847,-1.6366,0.0000,0.0000,1
876978762024500,3.1393,-1.5911,0.0000,1.7899,1
876978793761700,4.8186,-1.5858,0.1052,0.0000,1
876978825713300,4.8186,0.0960,0.1018,-1.6783,1
876978857959700,4.7280,0.1866,0.1018,-1.6206,1
876978889708400,4.8186,0.0960,0.1018,-1.6783,1
876978921930900,6.4473,-1.5326,0.1018,-1.6783,1
876978953877800,4.7280,0.1866,0.1018,-1.6206,1
876978985729400,8.0680,-1.4774,0.1520,-1.5030,1
876979017896300,7.8883,-1.2977,0.1520,-1.5030,1
876979065959300,8.0680,-1.4774,0.3134,-1.7795,1
876979097725700,8.0680,-1.3254,0.1614,-1.6644,1
876979130020800,8.0680,0.3914,0.2138,-3.5487,1
876979161964200,9.6783,-1.4203,0.4152,-1.7692,1
876979193962700,9.4553,-0.9959,0.0000,-1.3837,1
876979225952800,9.6783,0.4855,-1.4906,-1.5975,1
876979258020800,9.6783,0.4855,0.0000,-1.4906,1
876979289692100,9.6783,0.4855,0.2650,-1.7556,1
876979338162500,11.2757,0.2804,-1.1273,0.2817,1
876979369900100,11.2757,0.5773,-1.6892,-1.2633,1
876979401897300,13.1818,0.0000,-1.0140,-1.4573,1
876979433861800,12.8581,-1.3020,2.3311,-1.3850,1
876979465950800,14.4232,-0.8989,0.3630,-1.3850,1
876979497887800,14.4232,-0.8989,0.3630,-1.3850,1
876979530020200,16.3746,-1.1995,-1.2879,-1.7194,1
876979561963100,15.9689,-0.7938,-1.2879,0.3853,1
876979593995900,16.3746,-1.1995,0.4092,0.4341,1
876979642016000,15.9689,0.8343,0.4535,-1.2383,1
876979674107300,17.9377,-2.7625,0.4092,0.4341,1
876979705790800,18.9953,-2.1921,0.0000,-0.7848,1
876979738287500,19.4761,-1.0695,-0.6692,-1.7189,1
876979770031700,17.9377,0.4689,-1.1498,0.4806,1
876979802041000,19.4761,1.0425,-1.6164,-1.1648,1
876979834121900,18.9953,1.5232,0.0000,-1.0917,1
876979866035900,19.4761,0.5070,-1.0809,0.5247,1
876979913875900,20.9882,0.5431,-1.0127,-0.5355,1
876979945957700,22.4727,-0.9414,-1.0127,0.5662,1
876979977949000,23.0496,-1.5183,1.1782,-1.6246,1
876980010176800,23.0496,-1.5183,2.1263,-1.9731,1
876980041991600,22.4727,0.5769,-0.3402,-1.0250,1
876980073934700,24.5369,-2.4327,1.5534,-1.9731,1
876980105831800,22.4727,0.5769,-0.3402,0.6401,1
876980138117300,24.5369,0.6407,-0.8784,-0.9496,1
876980169975000,24.5369,1.3158,-1.5536,0.6777,1
876980218055100,23.9283,2.7347,-1.4855,-1.8280,1
876980250102200,25.9921,-0.8146,0.6752,-0.8759,1
876980281952800,25.9921,-0.8146,0.6752,-0.8759,1
876980313937200,25.9921,0.6709,-0.8103,-0.8759,1
876980345980700,26.6630,0.0000,-1.4855,-0.2007,1
876980377847200,27.4145,0.6987,-2.2605,0.7123,1
876980410101000,27.4145,0.6987,-0.7441,-2.3923,1
876980442073400,27.4145,-0.7515,-0.8103,-0.8759,1
876980489914200,28.1132,0.0000,-1.4502,-0.0979,1
876980521929000,28.1132,0.7345,-1.4786,-0.8041,1
876980554004900,28.1132,0.0000,0.7345,-0.7345,1
876980586048400,28.8035,0.0442,0.0000,-0.7345,1
876980618037400,28.8035,-0.6903,0.0000,0.0000,1
876980649816400,28.8035,0.0442,0.0000,-0.7345,1
876980681979800,27.4145,1.4332,0.7729,-3.0556,1
876980714047600,29.5276,-0.6799,0.7729,-1.5074,1
876980746186100,29.5276,-0.6799,0.0000,-0.7345,1
876980794188100,29.5276,0.0000,0.0930,-3.0556,1
876980826137800,29.5276,0.0000,0.0930,-3.0556,1
876980858306400,29.5276,0.7603,-0.6673,-2.3032,1
876980890111000,29.5276,0.7603,-1.4402,-0.7345,1
876980922092100,29.5276,0.0000,0.0930,-1.5074,1
876980954153300,29.5276,-1.4144,1.5074,0.0000,1
876980986138600,29.5276,-1.4144,1.5074,0.0000,1
876981018030200,29.5276,-1.4144,1.5074,0.0000,1
876981066046700,29.5276,-1.4144,1.5074,-1.5074,1
876981097945900,29.5276,-1.4144,1.5074,-2.2515,1
876981129931800,29.5276,-1.4144,1.5074,-2.2515,1
876981162113300,29.5706,-1.4144,1.5074,-2.2515,1
876981194201200,29.5276,-1.4144,1.5074,-2.2515,1
876981225921800,29.5276,-1.4144,1.5074,-1.5074,1
876981257999400,29.5276,-1.4144,1.5074,-1.5074,1
876981289817600,29.5276,-1.4144,1.5074,-1.5074,1
876981338226900,29.5276,-1.4144,1.5074,0.0000,1
876981369905400,29.5276,-1.4144,1.5074,0.0000,1
876981401922100,29.5276,0.0000,0.0930,0.0000,1
876981434088200,29.5276,0.7603,-0.6673,0.0000,1
876981466195700,29.5276,0.7603,-1.4402,0.0503,1
876981497935500,29.5276,0.7603,-0.6673,-0.7226,1
876981530120000,29.5276,0.7603,-1.4402,0.0503,1
876981561956000,27.4145,1.4332,2.2392,-2.9737,1
876981594099800,28.8035,0.0442,0.7729,-1.5074,1
876981642076000,28.8035,-0.6903,0.7345,-0.7345,1
876981673972600,28.8035,-0.6903,0.0000,-1.5482,1
876981705762900,28.8035,-0.6903,0.0000,-1.5482,1
876981738074800,28.1132,0.7345,-0.7345,-1.5482,1
876981770157400,27.4145,1.4332,0.7729,-0.7226,1
876981802216400,27.4575,-0.7515,1.4502,-1.5482,1
876981833932500,26.7060,1.4502,-0.7441,-1.6755,1
876981865954700,26.0351,0.6709,-0.0979,-0.7123,1
876981913775000,26.0351,0.6709,-0.8103,-0.8759,1
876981946117800,23.9713,2.7347,-0.8103,-0.8759,1
876981978314600,24.5799,0.6407,0.6752,-0.8759,1
876982009986300,23.0496,2.1279,-0.8784,-0.9496,1
876982042013800,22.4727,0.5769,-0.3402,2.2674,1
876982073949800,23.0926,0.6080,-0.9482,0.0000,1
876982105893300,22.5156,-0.3685,0.0000,1.2454,1
876982138141600,21.0312,0.5431,0.5729,-1.0194,1
876982169856200,19.5191,0.5070,0.5355,-0.5355,1
876982217907900,17.9377,2.5809,0.5662,-1.6580,1
876982249945800,16.3746,2.0319,-0.6692,0.5100,1
876982281944600,16.4176,-1.1995,2.0816,-0.7772,1
876982314032800,14.7887,0.3865,0.4092,-1.3119,1
876982345913900,12.9011,2.3171,-0.9026,0.0000,1
876982378236300,10.0080,0.2969,2.4195,-1.7703,1
876982409978300,11.3187,2.2486,-1.3565,0.3344,1
876982442148700,9.7212,0.4855,0.0000,0.5467,1
876982490130500,8.1301,0.4855,0.5467,0.0000,1
876982522083600,6.5198,0.3914,0.4412,0.2423,1
876982554322600,3.2705,1.7720,0.4851,0.0000,1
876982586136100,4.8616,0.0960,1.8280,-1.6181,1
876982618174400,3.2277,0.0481,1.7835,0.2232,1
876982650308200,3.1823,1.7753,-1.5766,0.0000,1
876982681857600,3.2277,-1.6366,0.0000,1.7899,1
876982714041500,1.5911,0.0000,0.0000,1.7899,1
876982746265400,-0.0454,1.6366,0.0000,1.8476,1
876982794016600,-0.0454,1.6366,0.0000,1.8476,1
876982826268600,-0.0454,1.6366,0.0000,0.0000,1
876982858219400,-0.0454,1.6366,0.0000,0.0000,1
876982890066200,-0.0454,1.6366,0.0000,1.8476,1
876982922068800,-0.0454,1.6366,0.0000,0.0000,1
876982954087100,-1.6366,1.6366,0.0000,0.0000,1
876982986096000,0.0000,0.0000,0.0000,0.0000,1
876983018066800,0.0000,0.0000,0.0000,0.0000,1
876983066104900,-1.6366,1.6366,0.0000,0.0000,1
876983098346100,0.0000,0.0000,0.0000,1.8476,1
876983129998700,-1.6366,1.6366,0.0000,0.0000,1
876983162107200,-1.5911,1.5911,0.0000,0.0000,1
876983194410400,-0.0454,1.6366,0.0000,-1.8476,1
876983226105300,-0.0454,1.6366,0.0000,0.0000,1
876983258216100,-0.0454,-0.0481,-0.1052,0.0000,1
876983290335000,-0.0454,-0.0481,-0.1052,0.0000,1
876983322053600,-1.6366,1.6366,0.0000,-1.8476,1
876983370069000,-1.6366,1.6366,-1.7899,0.0000,1
876983402364000,-1.6366,-0.0991,0.0000,1.7357,1
876983434117900,-1.6366,1.6366,0.0000,-1.8476,1
876983466335100,-1.6366,-0.0991,0.0000,-0.1119,1
876983497969200,-0.0454,1.6366,-1.7357,1.7357,1
876983530151200,1.5911,-1.7357,0.0000,1.7357,1
876983562017400,1.5911,-1.7357,0.0000,1.7357,1
876983594409400,1.5911,-1.7357,0.0000,1.7357,1
876983642487100,1.5911,-1.7357,0.0000,1.7357,1
876983674309600,1.5911,-1.7357,0.0000,1.7357,1
876983706273200,1.5911,-1.7357,0.0000,1.7357,1
876983738659000,1.5911,-1.7357,0.0000,1.7357,1
876983770261300,1.5911,-1.7357,0.0000,1.7357,1
876983802104000,1.5911,-1.7357,0.0000,1.7357,1
876983834447300,-1.6366,-0.0991,0.0000,1.7357,1
876983866181700,-0.0454,-0.0991,1.7357,-1.7899,1
876983913957000,-0.0454,1.6366,-1.7357,1.7357,1
876983946268400,-0.0454,-0.0991,0.0000,1.7357,1
876983978202600,-0.0454,-0.0991,1.7357,0.0000,1
876984010045900,-0.0454,-0.0991,1.7357,0.0000,1
876984042161100,-0.0454,-0.0991,1.7357,0.0000,1
876984074430800,-0.0454,-0.0991,0.0000,1.7357,1
876984106039200,-0.0454,-0.0991,1.7357,0.0000,1
876984138118200,-0.0454,-0.0481,1.6847,0.0000,1
876984170164200,-0.0454,-0.0481,1.6847,0.0000,1
876984218316000,-0.0454,-0.0481,1.6847,0.0000,1
876984250349000,-0.0454,-0.0481,1.6847,0.0000,1
876984282229900,-0.0454,-0.0481,1.6847,0.0000,1
876984314163800,-0.0454,-0.0481,-0.1052,1.7899,1
876984346483600,-0.0454,-0.0481,-0.1052,1.7899,1
876984378378900,-0.0454,-0.0481,-0.1052,0.0000,1
876984410227800,-0.0454,-0.0481,-0.1052,0.0000,1
876984442224000,-0.0454,-0.0481,-0.1052,0.0000,1
876984490503800,-0.0454,-0.0481,-0.1052,1.7899,1
876984522204700,-0.0454,-0.0481,-0.1052,1.7899,1
876984554313900,-0.0454,-0.0481,-0.1052,0.0000,1
876984586497000,-0.0454,-0.0481,-0.1052,1.7899,1
