frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,165127393114297,-28.1337,-29.7663,-29.8652,-22.3385,-11.5424,-4.5834,-2.4387,-0.7208,1.9382,0.9105,nan,nan,nan
1,165127422560864,-27.3624,-30.1747,-28.0451,-23.0246,-13.2573,-5.4855,-2.0804,0.5399,2.3038,0.9846,nan,nan,nan
2,165127452007431,-27.3668,-29.5592,-31.1626,-20.8901,-12.5752,-5.6375,-1.4253,-0.9412,3.1538,0.9575,nan,nan,nan
3,165127481453998,-27.7461,-29.5661,-30.7758,-21.6951,-12.2190,-6.7026,-1.0382,0.5679,2.0447,-0.6624,nan,nan,nan
4,165127510900566,-27.3739,-30.1381,-29.0267,-23.0765,-10.7521,-8.0411,-1.4899,1.5293,0.8367,-0.4652,nan,nan,nan
5,165127540347133,-27.3484,-29.4737,-30.6587,-20.8247,-12.3249,-6.8882,-0.8556,0.0153,0.8211,2.2552,nan,nan,nan
6,165127569793700,-27.7823,-29.3299,-31.2361,-20.5536,-12.0338,-7.0266,-2.4840,1.4282,0.6558,1.8801,nan,nan,nan
7,165127599240268,-28.2638,-29.5467,-30.7760,-20.9577,-11.7850,-6.7246,-2.9609,2.5490,1.2544,0.5496,nan,nan,nan
8,165127628686835,-28.3911,-29.4674,-30.5257,-21.0570,-12.1306,-6.0476,-3.1378,1.0442,1.4815,1.2230,nan,nan,nan
9,165127658133402,-28.0053,-29.0809,-31.0201,-20.8644,-12.5181,-6.1966,-3.4328,1.9007,0.3942,1.8264,nan,nan,nan
10,165127687579969,-27.7001,-29.4816,-30.9554,-21.1169,-12.9308,-5.2734,-3.6983,2.2136,0.3477,1.6563,nan,nan,nan
11,165127717026537,-27.5691,-29.5627,-30.6118,-20.7241,-12.9588,-6.6187,-2.0541,1.2614,0.1137,-0.2128,nan,nan,nan
12,165127746473104,-27.9747,-29.4921,-31.0442,-19.9806,-13.3264,-5.9872,-3.3182,1.5142,0.6175,2.1654,nan,nan,nan
13,165127775919671,-27.9186,-29.2276,-29.0334,-23.0535,-11.3260,-6.7445,-3.2778,0.5979,2.4006,0.6637,nan,nan,nan
14,165127805366238,-27.9327,-29.7449,-28.7621,-23.2292,-11.3539,-6.3608,-3.2556,1.2481,1.0495,1.0053,nan,nan,nan
15,165127834812806,-27.7150,-29.4279,-28.4294,-23.3204,nan,nan,-4.1278,0.5149,0.7525,2.2980,nan,nan,nan
16,165127864259373,-27.4768,-29.6358,-29.6010,-21.7653,-12.2530,-8.5449,-1.0245,0.7799,0.8596,4.6801,nan,nan,nan
17,165127893705940,-27.7059,-29.5309,-29.8635,-21.2560,-12.1876,-7.6807,-2.3380,0.7005,1.3824,2.7808,nan,nan,nan
18,165127923152507,-27.7292,-29.6303,-28.9276,-22.4904,-12.5067,-5.9111,-3.6943,2.1256,-0.0256,2.6792,nan,nan,nan
19,165127952599075,-28.2352,-29.2047,-28.5608,-22.6125,-12.1979,-6.6831,-3.1668,1.9256,-0.5642,2.6609,nan,nan,nan
20,165127982045642,-27.1211,-30.1879,-28.2450,-23.0547,-11.1227,-6.9379,-3.3425,1.2316,-0.4196,3.5334,nan,nan,nan
21,165128011492209,-27.0985,-29.5578,-29.0807,-22.2601,-12.4577,-6.8666,-3.1419,0.1033,nan,nan,nan,nan,nan
22,165128040938776,-27.2320,-29.8709,-29.3900,-24.4341,-10.1263,-8.8513,-1.2815,2.1520,-0.7803,3.7448,nan,nan,nan
23,165128070385344,-27.5852,-29.7559,-29.4699,-22.2608,-12.8993,-5.3014,-4.2707,1.5712,-0.0211,3.0624,nan,nan,nan
24,165128099831911,-27.8380,-29.6593,-30.2021,-21.9271,-12.2521,-5.7574,-3.6400,2.2616,0.2973,0.5624,nan,nan,nan
25,165128129278478,-27.9481,-29.8744,-28.9033,-22.9562,-11.7959,-6.8220,-2.6737,0.3131,1.1424,1.7947,nan,nan,nan
26,165128158725045,-28.2131,-29.1895,-30.1628,-21.2063,-12.7772,-7.2018,-2.0003,0.9541,-1.3037,2.5320,nan,nan,nan
27,165128188171613,-27.8353,-29.2713,-30.9961,-21.2471,-11.3097,-7.7213,-1.3312,0.2643,-0.2662,2.2142,nan,nan,nan
28,165128217618180,-28.0913,-29.1113,-29.2360,-22.5932,-11.8351,-7.8262,-1.8457,1.6604,-1.7722,3.8768,nan,nan,nan
29,165128247064747,-27.1255,-31.8948,-27.7541,-21.9609,-13.6499,-5.8036,-1.7908,-0.9062,-0.4142,5.4591,nan,nan,nan
30,165128276511315,-27.4333,-30.1973,-29.5569,-21.1579,-12.5049,-6.4986,-3.9598,3.7959,-0.6895,0.8223,nan,nan,nan
31,165128305957882,-28.0368,-28.8678,-30.7656,-20.9041,-12.0248,-6.4165,-2.5909,0.2835,0.6080,1.0347,nan,nan,nan
32,165128335404449,-27.9347,-28.5859,-31.0580,-20.6787,-11.9364,-7.0008,-3.5947,1.9297,0.7194,0.8388,nan,nan,nan
33,165128364851016,-27.7106,-28.8045,-29.6864,-22.3487,-12.0828,-6.9823,-2.6982,2.7940,-0.4282,0.9579,nan,nan,nan
34,165128394297584,-28.0007,-28.5227,-29.3221,-22.7139,-11.8698,-7.0292,-3.0570,2.7301,0.6482,0.1052,nan,nan,nan
35,165128423744151,-27.9573,-28.9539,-29.2032,-22.5408,-12.0487,-6.9194,-2.8167,1.2502,0.9093,1.4730,nan,nan,nan
36,165128453190718,-27.5724,-29.4836,-27.4611,-24.0023,-12.2199,-6.2282,-4.4775,2.4526,1.1473,1.1951,nan,nan,nan
37,165128482637285,-27.9576,-29.4665,-30.6650,-21.1796,-11.8202,-6.4309,-3.8815,1.6966,1.5358,1.1407,nan,nan,nan
38,165128512083853,-28.0023,-29.3883,-28.7061,-22.8720,-11.7393,-6.3576,-4.3378,2.5129,0.4664,2.3129,nan,nan,nan
39,165128541530420,-27.6370,-29.7311,-28.7784,-22.4979,-12.1751,-6.1360,-4.2147,2.1053,0.9268,0.5309,nan,nan,nan
40,165128570976987,-27.4770,-29.4965,-28.7137,-22.6807,-11.8914,-6.5301,-3.4364,1.1129,1.3940,1.2177,nan,nan,nan
41,165128600423554,-27.6391,-29.3291,-28.9537,-21.9106,-12.6768,-7.3381,-2.4560,0.9811,1.2213,0.4318,nan,nan,nan
42,165128629870122,-27.6911,-29.0135,-28.9884,-22.7738,-12.1596,-6.5127,-3.0501,1.4159,0.4553,1.4921,nan,nan,nan
43,165128659316689,-27.3903,-29.1728,-30.6830,-20.6575,-11.8580,-7.3061,-2.5696,0.5401,0.9869,0.4708,nan,nan,nan
44,165128688763256,-27.5668,-28.9845,-30.2042,-21.2578,-12.4319,-5.6838,-3.8010,0.7366,1.2821,-0.0973,nan,nan,nan
45,165128718209823,-27.1399,-29.2229,-28.0504,-24.1055,-11.7116,-5.2584,-3.3821,-0.4344,1.9823,0.0043,nan,nan,nan
46,165128747656391,-27.2643,-29.3956,-30.5523,-21.3207,-11.8049,-6.2813,-2.5930,0.0724,1.4341,1.0353,nan,nan,nan
47,165128777102958,-27.4580,-29.6746,-29.4649,-23.2466,-10.6623,-7.1373,-1.6674,-0.2525,1.7560,0.9222,nan,nan,nan
48,165128806549525,-27.5421,-29.4106,-30.4509,-21.8309,-11.6175,-5.7984,-3.6839,1.1849,1.3901,0.6046,nan,nan,nan
49,165128835996092,-27.3776,-29.0012,-31.4683,-21.0212,-11.6192,-6.3608,-3.3349,0.8251,1.7414,0.5465,nan,nan,nan
50,165128865442660,-27.3676,-28.2706,-29.2453,-24.1570,-11.5003,-5.9318,-4.6604,1.5003,2.0513,0.2876,nan,nan,nan
51,165128894889227,-27.4411,-28.6287,-31.7973,-20.6686,-12.0189,-5.8205,-4.8593,1.8331,1.6566,1.9699,nan,nan,nan
52,165128924335794,-27.5304,-29.3268,-30.9790,-20.2337,-12.5988,-5.6643,-3.9817,1.0258,1.1120,2.0259,nan,nan,nan
53,165128953782362,-27.5173,-29.3401,-30.2863,-21.4048,-11.7875,-5.5729,-3.5022,0.1157,1.2024,2.2280,nan,nan,nan
54,165128983228929,-27.6614,-28.9385,-30.2784,-21.1048,-13.0420,-5.1305,-2.8741,0.1000,0.9781,1.7810,nan,nan,nan
55,165129012675496,-27.6454,-28.9503,-30.4663,-21.1333,-12.9058,-6.0201,-2.8043,1.0414,0.5331,1.9973,nan,nan,nan
56,165129042122063,-27.6746,-29.1228,-29.8365,-21.8205,-12.4464,-5.7441,-2.9852,1.0454,0.3994,1.5878,nan,nan,nan
57,165129071568631,-27.2143,-29.3425,-29.9661,-22.1717,-11.5701,-6.4667,-2.4180,0.5584,0.3466,2.0702,nan,nan,nan
58,165129101015198,-27.3743,-29.2620,-28.7140,-23.2677,-11.7019,-6.3329,-2.6439,0.2151,1.5609,1.6179,nan,nan,nan
59,165129130461765,-27.0033,-29.1900,-30.8099,-20.8575,-12.2100,-6.5600,-3.0283,0.9213,1.2199,2.0574,nan,nan,nan
60,165129159908332,-27.0261,-29.4172,-30.0698,-22.0127,-12.2838,-6.1436,-4.3425,2.0945,1.1812,2.4183,nan,nan,nan
61,165129189354900,-26.5544,-29.8417,-29.5870,-22.1668,-12.1594,-6.6482,-3.3451,1.2317,1.2416,1.2579,nan,nan,nan
62,165129218801467,-26.7427,-30.0097,-28.7797,-22.7087,-11.7694,-6.3699,-4.0857,1.5890,0.8115,1.8582,nan,nan,nan
63,165129248248034,-26.7929,-29.8438,-30.1369,-21.6081,-11.5048,-6.7323,-3.2712,1.5100,0.1378,1.7563,nan,nan,nan
64,165129277694601,-27.0671,-29.6922,-30.2859,-21.0958,-12.3020,-6.4970,-3.3852,1.8237,0.3195,1.5004,nan,nan,nan
65,165129307141169,-26.7476,-29.6652,-30.6390,-20.9269,-12.2535,-6.3524,-3.2507,1.6578,0.3519,1.9567,nan,nan,nan
66,165129336587736,-26.8672,-29.7342,-30.3455,-21.8586,-11.5762,-6.5463,-2.8712,1.2379,0.2235,2.6866,nan,nan,nan
67,165129366034303,-26.7944,-29.8147,-30.0337,-22.2925,-11.2085,-6.7771,-3.5001,1.8219,0.7211,2.5704,nan,nan,nan
68,165129395480870,-27.0152,-29.3945,-30.5951,-21.2961,-11.9372,-6.6080,-3.2392,1.8753,0.8064,1.8936,nan,nan,nan
69,165129424927438,-27.2831,-29.6492,-30.2291,-20.9637,-12.4615,-6.2580,-3.6659,1.4676,1.1086,1.8684,nan,nan,nan
