t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
165130436575000,2,-0.0254,-0.8477,0.5156,103.65,-170.55,480.37,-26.489622903270863,-27.789729375563542,-30.502121085024953,-19.864771515946156,-11.963944384926094,-6.588239929194462,-2.622262826906104,4.30195532038081,0.42444388817548756,1.6747905788508386,2.041253533619046,3.6020523696531415,-1.5633664930108833
165130449581600,3,-0.0176,-0.7383,0.5937,96.15,118.95,-838.29,-26.349073408316155,-27.96875109242446,-30.21651673732629,-19.992511660323597,-12.030994709671928,-6.727375978568231,-2.5693911281440722,3.890730996676115,1.4551549079014878,1.0738111859049646,2.570942265076265,3.686638253637512,-3.663790796461944
165130462602000,4,-0.002,-0.6582,0.7578,-92.55,-419.1,1582.68,-26.237537779229072,-28.099852192977195,-29.655438979718756,-20.35378694259334,-12.192758327305183,-6.668858509472428,-2.52624812533495,3.837327753778564,1.8503259626869237,1.0902150653928522,2.206303118353321,3.5767424407775614,-3.364049738524698
165130475577800,5,-0.0195,-0.5742,0.8574,178.05,67.95,3438.09,-26.151037049279804,-28.189834103601957,-28.863668671145945,-20.911128375297533,-12.433973302212104,-6.443330880394308,-2.4915244497363647,4.086959254116108,1.7059671285994051,1.629004889687141,1.086420514720782,3.302742675711569,-1.0344788829475435
165130488612800,0,0.0254,-0.0059,1.0098,38.25,-53.25,451.81,-26.119023581624983,-28.153010328592803,-28.244660655478107,-21.35260836513472,-12.603807405202787,-6.173731606591016,-2.510519277337151,4.370526439098996,1.5732055778216862,2.0540056703044534,0.4246892876442948,2.8794783595113143,0.43708354612950306
165130501636100,1,0.002,-0.5723,0.8281,-84.6,24.15,-264.26,-26.230254203177573,-27.78424654230831,-28.086461079615834,-21.484714077491613,-12.584347574791996,-5.792053569215725,-2.6700898867056386,4.73942290604538,1.4725451823331392,2.1752757952735204,0.9724392868207694,2.0703474564080766,-0.3593984672067204
165130514636500,2,-0.0352,-0.8359,0.5352,98.55,-166.8,473.11,-26.335249501109942,-27.422805986089788,-27.94391642843404,-21.59329615243447,-12.566733630669626,-5.415363204954819,-2.824121205201231,5.09523989735578,1.3798152471826257,2.2979054890946884,1.504906555928691,1.265362192605943,-1.1261131604199173
165130527648100,3,-0.0098,-0.7559,0.6074,105.3,112.35,-844.58,-26.02403938385621,-27.52112240109611,-28.861109159349233,-20.0965889123921,-12.673975850543941,-5.335870517046333,-2.615822966846255,4.594555268844912,1.821421652384074,2.529048485453381,1.050839373634306,0.6473606733796617,0.0617258814677486
165130540602100,4,0.0234,-0.6562,0.752,-79.2,-423.75,1572.52,-25.714206937507964,-27.619003587114122,-29.774241643922647,-18.606507324615894,-12.780743328506059,-5.256729728890647,-2.408446827120906,4.096087080633641,2.2610731458959834,2.759168253570331,0.598782264636069,0.03209493511094408,1.2443065747424282
165130553569400,5,0.0059,-0.6055,0.8438,174.0,78.9,3424.3,-25.5505882380992,-27.701415644883152,-29.82774492321295,-18.240901703662093,-12.349975610898888,-5.711177976740039,-2.196029212006276,4.001753145142522,2.1348226761204456,3.1771152977221417,-0.24094311176579597,0.29880477936867816,0.8856244989611183
