t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
430982088640800,0,0.0117,0.0020,1.0098,-18.00,-39.90,480.61
430982101606400,1,-0.0195,0.7969,0.5410,135.30,6.90,-281.93
430982114663500,2,-0.0215,0.9414,-0.2988,-203.25,-134.55,472.14
430982127628900,3,-0.0312,0.8164,-0.5293,51.45,19.95,-798.12
430982140670200,4,-0.0352,0.8613,-0.4980,-47.85,-328.20,1605.43
430982153690200,5,-0.0254,0.8555,-0.4414,70.80,65.25,3477.30
430982166747100,0,0.0117,-0.0020,1.0039,-15.30,-42.15,471.90
430982179690100,1,-0.0195,0.8027,0.5449,135.75,0.45,-276.61
430982192656900,2,-0.0195,0.9414,-0.2988,-205.95,-131.25,477.71
430982205840100,3,-0.0312,0.8164,-0.5352,47.10,18.60,-795.94
430982218677700,4,-0.0332,0.8633,-0.5000,-40.65,-320.70,1614.62
430982231673700,5,-0.0293,0.8574,-0.4414,76.50,66.60,3474.39
430982244642000,0,0.0098,-0.0039,1.0098,-9.90,-44.25,476.26
430982257633900,1,-0.0254,0.7988,0.5430,136.95,5.70,-282.17
430982270715300,2,-0.0195,0.9414,-0.3027,-203.10,-135.15,476.50
430982283670800,3,-0.0332,0.8203,-0.5273,50.10,23.25,-791.82
430982296719200,4,-0.0371,0.8633,-0.5059,-40.65,-318.90,1612.69
430982309614700,5,-0.0273,0.8574,-0.4414,68.70,72.30,3478.75
430982322640600,0,0.0117,-0.0039,1.0059,-16.20,-42.30,468.51
430982335611200,1,-0.0215,0.7969,0.5508,134.40,4.35,-279.99
430982348836100,2,-0.0195,0.9375,-0.2988,-194.70,-139.65,474.80
430982361689500,3,-0.0332,0.8203,-0.5312,57.45,25.20,-792.07
430982374634200,4,-0.0352,0.8633,-0.4980,-41.10,-313.95,1620.43
430982387624200,5,-0.0254,0.8555,-0.4434,74.25,76.35,3473.67
430982400612700,0,0.0078,-0.0020,1.0039,-21.15,-43.95,467.54
430982413668100,1,-0.0195,0.7969,0.5449,142.80,5.25,-279.51
430982426702200,2,-0.0176,0.9414,-0.3027,-206.10,-137.25,481.82
430982439640400,3,-0.0332,0.8184,-0.5352,48.90,15.60,-794.24
430982452691500,4,-0.0352,0.8633,-0.4980,-44.10,-322.05,1613.41
430982465631900,5,-0.0254,0.8555,-0.4414,80.25,77.25,3478.51
430982478664500,0,0.0098,-0.0020,1.0078,-10.65,-40.50,474.32
430982491682800,1,-0.0234,0.7949,0.5449,141.60,10.95,-277.09
430982504731500,2,-0.0176,0.9434,-0.3047,-202.65,-135.30,476.26
430982517639500,3,-0.0332,0.8164,-0.5273,52.95,16.65,-794.24
430982530783800,4,-0.0332,0.8633,-0.4980,-46.80,-317.10,1616.08
430982543666000,5,-0.0293,0.8555,-0.4395,68.40,69.90,3482.86
430982556652000,0,0.0117,-0.0020,1.0078,-14.25,-39.15,469.00
430982569679400,1,-0.0195,0.7969,0.5449,134.25,9.30,-272.25
430982582720000,2,-0.0176,0.9414,-0.3008,-204.45,-140.55,479.89
430982595699600,3,-0.0312,0.8203,-0.5312,52.95,21.60,-782.63
430982608669600,4,-0.0371,0.8613,-0.4941,-43.50,-312.90,1618.74
430982621739500,5,-0.0254,0.8574,-0.4414,72.00,69.15,3479.96
430982634704300,0,0.0078,0.0000,1.0059,-7.20,-36.30,465.85
430982647692800,1,-0.0195,0.7988,0.5410,134.85,9.00,-274.19
430982660678300,2,-0.0195,0.9434,-0.2988,-198.90,-132.30,478.19
430982673668000,3,-0.0371,0.8145,-0.5352,54.90,15.75,-791.82
430982686665900,4,-0.0352,0.8633,-0.4980,-48.75,-315.90,1624.06
430982699650600,5,-0.0254,0.8535,-0.4453,73.05,73.65,3478.99
430982712642800,0,0.0117,-0.0039,1.0078,-16.50,-38.25,463.91
430982725638600,1,-0.0176,0.7988,0.5430,133.95,9.90,-267.89
430982738694700,2,-0.0176,0.9395,-0.2930,-207.30,-134.10,480.13
430982751698800,3,-0.0352,0.8164,-0.5332,54.90,22.20,-796.91
430982764766600,4,-0.0352,0.8633,-0.5020,-45.90,-312.75,1613.66
430982777667500,5,-0.0293,0.8594,-0.4473,72.15,68.55,3462.78
430982790672300,0,0.0098,0.0000,1.0039,-13.20,-43.65,470.45
430982803698800,1,-0.0234,0.7969,0.5449,142.50,1.35,-277.09
430982816679700,2,-0.0215,0.9375,-0.3008,-200.85,-124.20,471.90
430982829705000,3,-0.0332,0.8184,-0.5312,56.70,15.45,-786.02
430982842785700,4,-0.0332,0.8594,-0.5000,-44.25,-321.15,1607.85
430982855802300,5,-0.0273,0.8555,-0.4414,71.10,76.95,3472.46
430982868712600,0,0.0117,0.0000,1.0078,-14.10,-41.10,473.11
430982881671300,1,-0.0195,0.7969,0.5488,130.05,7.05,-279.27
430982894683500,2,-0.0195,0.9395,-0.3027,-210.60,-132.45,482.79
430982907696200,3,-0.0371,0.8164,-0.5332,53.55,30.75,-799.08
430982920750700,4,-0.0332,0.8613,-0.5000,-38.10,-323.85,1612.45
430982933669600,5,-0.0254,0.8555,-0.4414,66.00,74.40,3469.80
430982946689600,0,0.0117,-0.0039,1.0039,-12.30,-42.00,478.68
430982959655900,1,-0.0195,0.7988,0.5449,136.20,8.10,-288.71
430982972720900,2,-0.0176,0.9414,-0.3027,-202.95,-129.15,474.08
430982985745500,3,-0.0352,0.8203,-0.5312,59.55,15.60,-788.68
430982998707700,4,-0.0352,0.8652,-0.5020,-41.85,-311.25,1609.06
430983011714600,5,-0.0254,0.8594,-0.4434,78.90,63.60,3469.31
430983024696300,0,0.0137,-0.0020,1.0078,-5.55,-44.70,465.37
430983037683600,1,-0.0215,0.7988,0.5449,138.00,13.20,-268.38
430983050768700,2,-0.0176,0.9434,-0.2988,-205.65,-137.10,478.19
430983063810800,3,-0.0312,0.8145,-0.5332,54.00,20.85,-789.89
430983076782100,4,-0.0312,0.8652,-0.5020,-39.90,-317.55,1612.20
430983089699900,5,-0.0254,0.8574,-0.4434,70.80,70.80,3480.93
430983102735400,0,0.0078,-0.0039,1.0098,-6.30,-44.25,472.38
430983115691500,1,-0.0215,0.7969,0.5449,138.60,8.10,-283.62
430983128776800,2,-0.0195,0.9414,-0.3047,-203.55,-123.60,473.84
430983141747300,3,-0.0312,0.8184,-0.5293,57.45,25.35,-794.00
430983154917100,4,-0.0332,0.8652,-0.5020,-46.95,-321.45,1603.73
430983167727800,5,-0.0273,0.8555,-0.4414,67.50,77.55,3479.23
430983180785800,0,0.0078,-0.0020,1.0098,-9.45,-42.15,474.80
430983193679600,1,-0.0195,0.7949,0.5430,140.25,9.45,-279.75
430983206731300,2,-0.0195,0.9414,-0.3027,-203.85,-129.75,469.24
430983219685400,3,-0.0332,0.8164,-0.5312,57.75,17.25,-789.40
430983232728900,4,-0.0332,0.8613,-0.5020,-41.55,-323.10,1617.29
430983245733900,5,-0.0293,0.8574,-0.4434,71.70,73.95,3470.52
430983258696000,0,0.0117,-0.0020,1.0098,-16.20,-40.80,471.17
430983271753600,1,-0.0195,0.7969,0.5449,134.10,4.20,-271.04
430983284773300,2,-0.0215,0.9414,-0.3027,-206.10,-133.50,476.50
430983297745000,3,-0.0332,0.8203,-0.5332,53.70,21.30,-790.61
430983310781500,4,-0.0391,0.8613,-0.5000,-36.00,-316.65,1610.51
430983323715400,5,-0.0234,0.8574,-0.4453,73.20,70.80,3478.99
430983336747000,0,0.0078,0.0000,1.0098,-17.40,-38.40,467.06
430983349717000,1,-0.0234,0.7969,0.5430,135.00,10.65,-276.85
430983362787600,2,-0.0176,0.9395,-0.3008,-200.70,-132.90,469.72
430983375789200,3,-0.0352,0.8184,-0.5293,52.35,12.45,-793.52
430983388798400,4,-0.0352,0.8652,-0.5000,-49.05,-319.50,1618.98
430983401707700,5,-0.0273,0.8594,-0.4414,69.90,70.80,3474.64
430983414788200,0,0.0117,-0.0039,1.0059,-19.95,-45.45,462.70
430983427726200,1,-0.0234,0.7969,0.5449,131.55,7.80,-279.51
430983440750600,2,-0.0176,0.9375,-0.3027,-209.10,-136.35,469.00
