frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,1111637168520239,-0.1417,-1.4202,-2.8312,0.9413,-3.2916,2.1818,1.7477,1.3995,-0.9152,0.4205,-0.7445,1.0024,6.8794
1,1111637202069209,0.8378,-2.3305,-3.1465,1.0755,-3.3545,2.2777,2.2181,1.2149,-0.9831,0.5943,-0.8636,0.1836,4.4299
2,1111637235618180,0.5136,-2.1109,-2.5564,0.8880,-3.5795,2.0421,2.3747,1.3134,-0.7581,0.6139,-0.7856,-0.0254,4.0884
3,1111637269167151,-0.2962,-1.6863,-2.0976,0.4791,-3.4988,1.5631,2.3378,1.8131,-0.8410,0.6045,-1.9594,1.9586,4.6712
4,1111637302716122,-0.5907,-2.1258,-1.8178,0.2708,-2.9967,1.7412,2.2939,1.8815,-0.9899,1.1008,-0.9997,0.7925,3.3031
5,1111637336265093,-1.2449,-1.5504,-2.0515,0.6538,-2.9826,2.1916,1.8167,2.0530,-0.7922,0.5265,-1.2474,1.4460,1.9351
6,1111637369814063,-1.3563,-1.6095,-2.1970,1.3655,-3.2906,2.4588,1.9019,1.8873,-0.7434,0.4516,-1.9857,1.6145,0.5671
7,1111637403363034,-1.2569,-1.6625,-2.2839,-1.0713,-0.7711,2.8411,1.6084,2.2130,-1.1054,0.3774,-0.7020,0.8171,-0.8010
8,1111637436912005,-0.4652,-0.9371,-3.1289,2.0803,-3.5011,2.3885,2.3378,1.6233,-0.4654,0.3881,-1.1012,1.1760,2.6038
9,1111637470460976,-1.1864,-1.0919,-2.5677,1.6280,-3.0455,2.7354,2.0759,2.2484,-0.9041,0.3734,-1.1727,1.0822,6.0085
10,1111637504009947,0.0839,-1.6809,-2.8315,2.4784,-3.0119,2.6477,2.5712,1.3732,-0.7926,0.7570,-1.2730,0.8992,3.3668
11,1111637537558917,-0.8557,-1.6110,-2.3822,2.5957,-3.7669,2.8157,2.6957,1.8663,-0.9037,0.6393,-0.8561,0.5700,0.7251
12,1111637571107888,-0.5955,-1.8191,-1.3377,0.9896,-3.1969,3.1159,2.5842,1.9079,-0.7991,0.3409,-0.8055,1.4551,5.7821
13,1111637604656859,-0.4964,-1.8439,-2.1152,1.7331,-3.0752,3.1131,2.5073,2.3697,-0.4271,-0.0987,-0.7496,1.3300,1.8200
14,1111637638205830,-0.7438,-1.6875,-2.9752,2.7973,-3.0753,2.9794,2.6200,2.3704,-0.4626,0.5059,-0.3708,0.4729,3.5412
15,1111637671754801,-1.0265,-1.7290,-2.6208,2.4873,-3.3098,3.4296,2.5768,2.6625,-0.4433,0.2217,-1.1674,1.5503,5.2623
16,1111637705303771,-0.7210,-2.0552,-2.3959,-0.2057,-0.3036,3.0918,2.9995,2.0687,-0.4582,0.4038,-0.8390,1.0352,5.6000
17,1111637738852742,-1.2391,-2.0391,-1.5885,1.5184,-3.2360,3.3359,3.1076,1.9638,-0.5246,0.6805,-0.9827,1.2017,6.9428
18,1111637772401713,-0.5854,-2.3922,-1.9243,2.2263,-3.9015,3.5528,2.7549,2.5471,-0.9027,0.8737,-0.9488,1.1895,-1.8624
19,1111637805950684,-0.8787,-2.1894,-2.3937,1.6332,-3.1098,3.0921,2.9806,2.1702,-0.1275,-0.0320,-0.6523,1.0910,-4.0556
20,1111637839499655,-0.8447,-2.1777,-2.1771,1.4018,-2.8508,2.9465,3.0860,1.7075,-0.4598,0.2360,-1.0094,1.3952,1.9494
21,1111637873048625,-1.2476,-1.9751,-1.9382,0.9290,-2.8775,2.8270,2.8924,1.7371,-0.3353,0.1950,-0.6757,1.4262,3.5804
22,1111637906597596,-1.0595,-2.2069,-1.2876,0.3393,-3.1589,2.5645,2.4041,2.2507,-0.5022,0.2343,-0.6595,0.8494,0.9585
23,1111637940146567,-0.8521,-1.8723,-1.6965,0.5850,-3.2931,2.6044,2.5160,1.9573,-0.9039,0.4531,-0.6850,0.9032,-0.9413
24,1111637973695538,-1.0005,-1.5754,-1.7504,0.5168,-3.0336,2.1872,2.5348,1.9863,-1.0537,0.4812,-1.3018,1.2920,-0.8324
25,1111638007244509,-0.2965,-2.4114,-1.9348,1.5268,-3.4045,1.6361,3.0269,1.2400,-0.4653,-0.2307,-0.7811,1.4667,3.1876
26,1111638040793479,-0.5036,-2.0159,-2.4624,-0.2467,-1.4686,1.5838,2.7505,1.0933,-0.5662,-0.2497,-0.4051,1.0948,2.4908
27,1111638074342450,-0.7606,-1.9995,-2.6008,-0.4712,-1.3524,1.6517,2.1553,1.6399,-0.3945,-0.0497,-0.4713,0.9771,-2.6512
28,1111638107891421,-0.6205,-1.6073,-3.0662,1.1517,-3.3791,1.6198,2.3107,1.2453,-0.4146,-0.1901,-0.6199,0.9912,-2.2620
29,1111638141440392,-0.3810,-1.7322,-2.6909,1.5401,-4.0574,1.8130,2.0092,0.8548,-0.0575,-0.4255,-0.4426,1.1057,2.2674
30,1111638174989363,-1.1517,-1.7435,-2.5650,2.1466,-4.4553,1.3631,2.1027,1.2236,-1.2120,0.6163,-0.9740,0.8757,0.0590
31,1111638208538333,0.5944,-2.2234,-2.1996,-0.2584,-2.2023,1.2454,2.1478,1.0848,-0.6308,0.0198,-1.2706,1.6261,-4.5809
32,1111638242087304,-0.1799,-2.3664,-2.5798,2.1801,-3.9995,1.0292,2.4861,0.6317,-0.4488,-0.2615,-0.6547,0.6925,-3.3121
33,1111638275636275,-0.6323,-1.8915,-2.5071,2.2169,-4.4080,1.4135,2.1779,0.7170,-0.7294,-0.0287,-1.3615,1.8698,-0.7982
34,1111638309185246,-0.4005,-2.2458,-2.1503,1.9534,-4.0239,1.2782,1.7764,1.1588,-0.9664,0.2592,-0.7941,1.2492,1.7157
35,1111638342734217,-0.3056,-1.4733,-2.7242,1.3199,-3.7918,2.0324,1.5752,1.4097,-0.4533,-0.1428,-1.5742,1.9319,2.6240
36,1111638376283188,-0.3753,-1.8687,-2.6892,1.4990,-4.2051,1.9743,1.9280,1.5652,-0.5934,-0.1869,-0.8003,1.2725,3.3859
37,1111638409832158,-0.5906,-1.5668,-3.0298,2.6248,-4.5867,1.7953,1.8034,2.0131,-0.6073,-0.3667,-0.8151,1.4120,-4.2664
38,1111638443381129,-0.6559,-1.5354,-2.7589,1.2593,-3.4378,1.6839,2.0939,2.2834,-0.7375,-0.1865,-1.1207,1.2353,-3.6442
39,1111638476930100,-0.6526,-1.5442,-3.0177,1.9772,-4.0216,2.1730,1.8105,2.1135,-1.0414,0.4889,-0.8877,1.0325,-3.0220
40,1111638510479071,-0.5273,-1.4673,-3.3202,1.5261,-3.6464,2.2271,2.1727,1.9641,-0.7273,0.1329,-0.8300,0.8045,3.0077
41,1111638544028042,-0.6930,-1.9713,-3.0976,2.0366,-3.7419,2.2107,2.5659,1.9903,-0.8300,0.3500,-0.2481,0.2870,4.5272
42,1111638577577012,-0.4361,-2.1432,-2.9086,1.4623,-3.2801,1.9382,2.6545,1.9962,-0.7423,0.3837,-0.6548,0.8941,4.6999
43,1111638611125983,-0.9642,-1.8721,-2.0975,0.8731,-3.1064,2.3840,2.3148,1.9624,-0.8131,0.4908,-1.2851,1.4457,4.8725
44,1111638644674954,-1.2114,-1.6471,-2.2574,1.5397,-3.8412,2.2133,2.3020,2.4293,-1.0466,0.3844,-0.5773,0.9273,4.0693
45,1111638678223925,-0.1254,-2.0457,-3.0657,1.5779,-3.3646,2.3882,2.1266,2.0110,-0.8328,0.2441,-0.3549,0.8664,3.2660
46,1111638711772896,-0.3839,-1.8323,-3.0726,1.8283,-3.8814,2.1351,2.3138,1.8777,-0.7116,0.2254,-0.3912,0.4769,2.4627
47,1111638745321866,-2.4096,-2.0787,-2.7912,0.8388,-3.1162,1.4380,2.6360,1.4511,-0.3933,0.4199,-0.6071,1.0441,-2.9850
48,1111638778870837,0.1845,-2.2894,-3.6114,3.8510,-6.1746,2.0501,1.9559,2.0482,-0.7791,0.0614,-0.3972,1.0584,-1.0108
49,1111638812419808,-0.3860,-1.7901,-3.3111,1.7998,-3.9318,0.7715,2.4042,1.7305,-0.8674,0.3297,-0.6757,1.0758,0.9633
50,1111638845968779,-0.8045,-1.4643,-3.0897,-0.4180,-2.3642,1.2274,2.0962,1.2199,-0.9617,-0.1722,-0.6163,1.6254,2.9375
51,1111638879517750,-0.9930,-1.0557,-3.5812,1.2064,-3.8662,1.1796,1.9152,0.8736,-1.1175,0.4001,-0.9823,1.5198,4.2238
52,1111638913066720,-0.5354,-1.8797,-3.4927,1.9277,-4.9265,1.5534,1.5630,1.1699,-1.0876,0.2633,-0.1003,0.7293,0.9766
53,1111638946615691,-0.8226,-1.9141,-3.7964,-1.1297,-1.6810,1.5288,1.5376,1.3018,-1.3737,0.4458,-0.2149,0.8129,2.7462
54,1111638980164662,-1.2044,-1.8141,-3.2712,2.2449,-5.3462,1.3770,1.0361,1.2672,-1.0409,0.1681,-0.7137,0.4868,2.4054
55,1111639013713633,-1.0414,-1.6671,-2.3079,0.6529,-4.4630,0.7014,1.3106,0.8190,-0.7750,0.1827,-0.4626,0.0221,3.4346
